Event Type,Event Size (Attendees),Event Duration (Days),Event Schedule (Start - End),"Participant Demographics (Age, Location, Interests)","Participant Engagement Metrics (Attendance, Feedback)"
Festival,4892,2,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,3102,1,19:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Webinar,7282,1,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,3557,1,09:00 - 17:00,"18-25, Indore, Tech","90%, Very Positive"
Webinar,1229,2,09:00 - 17:00,"20-45, Mumbai, Sports","90%, Very Positive"
Concert,7521,1,10:00 - 18:00,"18-35, Maharashtra, Arts","85%, Positive"
Webinar,5406,2,09:00 - 17:00,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,1224,1,09:00 - 17:00,"25-40, Bhopal, Business","85%, Positive"
Workshop,1954,2,09:00 - 17:00,"25-40, Bhopal, Business","85%, Positive"
Webinar,3731,1,14:00 - 20:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,9662,1,14:00 - 20:00,"30-50, Delhi, Education","85%, Positive"
Festival,9804,2,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Workshop,5852,4,14:00 - 20:00,"18-35, Maharashtra, Arts","80%, Negative"
Webinar,7306,1,10:00 - 18:00,"18-35, Maharashtra, Arts","85%, Positive"
Seminar,3980,1,14:00 - 20:00,"16-30, Banglore, Music","70%, Mixed"
Workshop,329,2,09:00 - 17:00,"18-25, Indore, Tech","70%, Mixed"
Trade Show,5280,3,12:00 - 22:00,"18-25, Indore, Tech","80%, Negative"
Festival,3670,1,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Festival,8980,3,12:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Concert,9898,1,14:00 - 20:00,"25-40, Bhopal, Business","75%, Neutral"
Festival,4032,4,14:00 - 20:00,"30-50, Delhi, Education","75%, Neutral"
Festival,4582,1,08:00 - 16:00,"30-50, Delhi, Education","70%, Mixed"
Concert,997,3,12:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,8497,2,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Workshop,8966,2,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Conference,1275,3,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Festival,5711,2,08:00 - 16:00,"20-45, Mumbai, Sports","80%, Negative"
Seminar,2886,4,08:00 - 16:00,"30-50, Delhi, Education","75%, Neutral"
Conference,7028,4,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,6466,2,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Workshop,9177,2,09:00 - 17:00,"25-40, Bhopal, Business","90%, Very Positive"
Festival,2132,4,12:00 - 22:00,"16-30, Banglore, Music","80%, Negative"
Festival,8990,1,09:00 - 17:00,"20-45, Mumbai, Sports","90%, Very Positive"
Festival,7004,4,09:00 - 17:00,"16-30, Banglore, Music","80%, Negative"
Webinar,8857,1,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Conference,6671,3,19:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Festival,2371,1,08:00 - 16:00,"18-25, Indore, Tech","80%, Negative"
Seminar,897,2,19:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Concert,8787,2,09:00 - 17:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,5514,2,08:00 - 16:00,"18-25, Indore, Tech","95%, Positive"
Concert,5319,4,12:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Workshop,800,4,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Conference,4914,3,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,9522,2,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Festival,1120,3,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Workshop,1471,3,12:00 - 22:00,"30-50, Delhi, Education","85%, Positive"
Festival,4209,1,12:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Conference,8549,2,19:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Concert,3404,2,08:00 - 16:00,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,990,1,12:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,1456,3,10:00 - 18:00,"20-45, Mumbai, Sports","80%, Negative"
Concert,7086,2,14:00 - 20:00,"30-50, Delhi, Education","70%, Mixed"
Concert,3782,4,09:00 - 17:00,"18-25, Indore, Tech","75%, Neutral"
Trade Show,5788,4,09:00 - 17:00,"16-30, Banglore, Music","70%, Mixed"
Trade Show,2765,2,12:00 - 22:00,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,4469,3,09:00 - 17:00,"16-30, Banglore, Music","95%, Positive"
Workshop,1250,3,10:00 - 18:00,"20-45, Mumbai, Sports","95%, Positive"
Conference,6126,4,12:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Concert,595,3,10:00 - 18:00,"16-30, Banglore, Music","85%, Positive"
Concert,6338,2,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Seminar,3574,2,09:00 - 17:00,"16-30, Banglore, Music","75%, Neutral"
Trade Show,7065,3,19:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,4498,1,19:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Workshop,5262,3,09:00 - 17:00,"25-40, Bhopal, Business","70%, Mixed"
Conference,6244,4,08:00 - 16:00,"20-45, Mumbai, Sports","90%, Very Positive"
Webinar,4342,1,08:00 - 16:00,"20-45, Mumbai, Sports","90%, Very Positive"
Seminar,540,1,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,1889,2,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Trade Show,9566,3,19:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Webinar,4123,2,08:00 - 16:00,"18-25, Indore, Tech","90%, Very Positive"
Workshop,6519,3,08:00 - 16:00,"18-35, Maharashtra, Arts","70%, Mixed"
Trade Show,294,3,08:00 - 16:00,"25-40, Bhopal, Business","75%, Neutral"
Workshop,9694,4,12:00 - 22:00,"30-50, Delhi, Education","85%, Positive"
Webinar,7245,1,08:00 - 16:00,"18-35, Maharashtra, Arts","70%, Mixed"
Conference,9655,3,14:00 - 20:00,"30-50, Delhi, Education","90%, Very Positive"
Concert,8529,4,08:00 - 16:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Webinar,5289,1,10:00 - 18:00,"18-25, Indore, Tech","95%, Positive"
Webinar,9010,3,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Trade Show,1514,1,14:00 - 20:00,"16-30, Banglore, Music","95%, Positive"
Concert,584,1,14:00 - 20:00,"16-30, Banglore, Music","80%, Negative"
Webinar,2161,3,19:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Seminar,6771,2,08:00 - 16:00,"16-30, Banglore, Music","70%, Mixed"
Festival,898,2,08:00 - 16:00,"25-40, Bhopal, Business","70%, Mixed"
Trade Show,4308,3,14:00 - 20:00,"16-30, Banglore, Music","85%, Positive"
Concert,1870,1,09:00 - 17:00,"18-25, Indore, Tech","95%, Positive"
Workshop,4924,4,09:00 - 17:00,"20-45, Mumbai, Sports","70%, Mixed"
Festival,5737,1,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Conference,4530,3,14:00 - 20:00,"18-35, Maharashtra, Arts","70%, Mixed"
Seminar,5613,3,08:00 - 16:00,"18-25, Indore, Tech","95%, Positive"
Conference,8945,3,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Workshop,7302,1,08:00 - 16:00,"20-45, Mumbai, Sports","70%, Mixed"
Concert,4544,4,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Festival,729,2,09:00 - 17:00,"18-25, Indore, Tech","95%, Positive"
Webinar,2290,3,19:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Webinar,3625,1,12:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Seminar,636,4,10:00 - 18:00,"25-40, Bhopal, Business","70%, Mixed"
Conference,7361,2,10:00 - 18:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Seminar,3151,1,08:00 - 16:00,"18-25, Indore, Tech","80%, Negative"
Trade Show,9681,1,08:00 - 16:00,"18-25, Indore, Tech","85%, Positive"
Workshop,9549,2,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Webinar,5379,4,08:00 - 16:00,"20-45, Mumbai, Sports","85%, Positive"
Trade Show,6209,3,14:00 - 20:00,"25-40, Bhopal, Business","75%, Neutral"
Seminar,1944,3,14:00 - 20:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,3445,4,19:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Festival,4706,1,12:00 - 22:00,"30-50, Delhi, Education","70%, Mixed"
Workshop,3695,3,19:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Festival,5387,4,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Conference,6957,1,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Seminar,2352,2,19:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Workshop,2107,2,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Workshop,5380,1,10:00 - 18:00,"25-40, Bhopal, Business","70%, Mixed"
Seminar,4562,1,14:00 - 20:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,3643,1,12:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Workshop,6210,4,14:00 - 20:00,"18-25, Indore, Tech","90%, Very Positive"
Conference,3263,2,10:00 - 18:00,"20-45, Mumbai, Sports","85%, Positive"
Festival,2688,3,08:00 - 16:00,"18-35, Maharashtra, Arts","70%, Mixed"
Festival,4049,1,08:00 - 16:00,"18-35, Maharashtra, Arts","70%, Mixed"
Trade Show,6271,3,19:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Concert,9898,1,09:00 - 17:00,"16-30, Banglore, Music","80%, Negative"
Conference,9102,3,14:00 - 20:00,"16-30, Banglore, Music","75%, Neutral"
Workshop,6763,2,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Festival,7374,1,14:00 - 20:00,"18-25, Indore, Tech","90%, Very Positive"
Conference,4385,2,12:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,7756,2,09:00 - 17:00,"20-45, Mumbai, Sports","75%, Neutral"
Festival,9874,2,08:00 - 16:00,"20-45, Mumbai, Sports","90%, Very Positive"
Concert,5779,4,10:00 - 18:00,"16-30, Banglore, Music","85%, Positive"
Workshop,2989,3,19:00 - 22:00,"18-35, Maharashtra, Arts","85%, Positive"
Concert,3938,2,08:00 - 16:00,"20-45, Mumbai, Sports","95%, Positive"
Concert,9704,4,12:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Webinar,9197,3,14:00 - 20:00,"30-50, Delhi, Education","70%, Mixed"
Webinar,4008,3,19:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Concert,6218,1,12:00 - 22:00,"20-45, Mumbai, Sports","85%, Positive"
Seminar,2101,2,10:00 - 18:00,"20-45, Mumbai, Sports","85%, Positive"
Concert,1158,3,09:00 - 17:00,"20-45, Mumbai, Sports","70%, Mixed"
Trade Show,975,1,14:00 - 20:00,"18-25, Indore, Tech","85%, Positive"
Trade Show,7486,4,10:00 - 18:00,"16-30, Banglore, Music","95%, Positive"
Seminar,3389,4,19:00 - 22:00,"25-40, Bhopal, Business","90%, Very Positive"
Workshop,2241,3,19:00 - 22:00,"18-35, Maharashtra, Arts","85%, Positive"
Conference,7673,3,12:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Festival,3373,1,12:00 - 22:00,"18-25, Indore, Tech","90%, Very Positive"
Trade Show,6313,4,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Festival,8754,2,14:00 - 20:00,"20-45, Mumbai, Sports","85%, Positive"
Workshop,886,1,12:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Festival,5630,1,19:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Trade Show,1712,1,19:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Trade Show,1231,3,08:00 - 16:00,"30-50, Delhi, Education","75%, Neutral"
Festival,5529,4,14:00 - 20:00,"18-25, Indore, Tech","95%, Positive"
Festival,4101,4,08:00 - 16:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Seminar,3324,3,09:00 - 17:00,"16-30, Banglore, Music","70%, Mixed"
Seminar,4531,3,09:00 - 17:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,7804,1,19:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Festival,1073,4,09:00 - 17:00,"20-45, Mumbai, Sports","80%, Negative"
Conference,6282,3,08:00 - 16:00,"30-50, Delhi, Education","90%, Very Positive"
Webinar,6433,2,09:00 - 17:00,"18-25, Indore, Tech","70%, Mixed"
Workshop,282,4,19:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Festival,3785,1,14:00 - 20:00,"18-35, Maharashtra, Arts","75%, Neutral"
Seminar,2352,2,12:00 - 22:00,"18-35, Maharashtra, Arts","70%, Mixed"
Conference,709,2,08:00 - 16:00,"20-45, Mumbai, Sports","85%, Positive"
Trade Show,6664,4,19:00 - 22:00,"18-35, Maharashtra, Arts","70%, Mixed"
Concert,9445,2,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Seminar,1314,2,19:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Seminar,1731,1,10:00 - 18:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,148,1,19:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Concert,6232,2,19:00 - 22:00,"20-45, Mumbai, Sports","95%, Positive"
Concert,1000,1,19:00 - 22:00,"16-30, Banglore, Music","80%, Negative"
Trade Show,473,2,10:00 - 18:00,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,3489,1,09:00 - 17:00,"25-40, Bhopal, Business","70%, Mixed"
Festival,2813,3,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Concert,4534,2,19:00 - 22:00,"18-25, Indore, Tech","90%, Very Positive"
Webinar,3968,2,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Conference,7829,3,12:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Seminar,8003,4,10:00 - 18:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,2359,3,08:00 - 16:00,"20-45, Mumbai, Sports","80%, Negative"
Festival,4373,2,09:00 - 17:00,"16-30, Banglore, Music","80%, Negative"
Conference,599,3,12:00 - 22:00,"16-30, Banglore, Music","80%, Negative"
Webinar,362,3,12:00 - 22:00,"25-40, Bhopal, Business","75%, Neutral"
Trade Show,3815,3,09:00 - 17:00,"20-45, Mumbai, Sports","75%, Neutral"
Seminar,7946,4,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Webinar,1926,3,12:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Workshop,2640,3,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,370,3,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Concert,5619,2,09:00 - 17:00,"30-50, Delhi, Education","75%, Neutral"
Concert,1701,1,10:00 - 18:00,"30-50, Delhi, Education","90%, Very Positive"
Webinar,5656,4,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Festival,5177,2,12:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Webinar,8454,3,12:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Workshop,5366,2,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Conference,3880,4,09:00 - 17:00,"16-30, Banglore, Music","95%, Positive"
Trade Show,9096,2,08:00 - 16:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Concert,9067,1,14:00 - 20:00,"18-35, Maharashtra, Arts","70%, Mixed"
Seminar,5713,3,19:00 - 22:00,"30-50, Delhi, Education","80%, Negative"
Concert,2483,4,09:00 - 17:00,"20-45, Mumbai, Sports","75%, Neutral"
Festival,8700,1,12:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Webinar,7255,4,10:00 - 18:00,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,7107,3,08:00 - 16:00,"20-45, Mumbai, Sports","95%, Positive"
Festival,3391,1,10:00 - 18:00,"30-50, Delhi, Education","80%, Negative"
Webinar,6733,2,19:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Conference,4201,3,12:00 - 22:00,"30-50, Delhi, Education","85%, Positive"
Seminar,2229,4,19:00 - 22:00,"18-25, Indore, Tech","70%, Mixed"
Webinar,4481,3,09:00 - 17:00,"16-30, Banglore, Music","90%, Very Positive"
Conference,3902,4,19:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Workshop,3665,3,14:00 - 20:00,"20-45, Mumbai, Sports","70%, Mixed"
Webinar,4731,3,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Concert,9094,4,14:00 - 20:00,"30-50, Delhi, Education","90%, Very Positive"
Workshop,2150,4,14:00 - 20:00,"18-25, Indore, Tech","75%, Neutral"
Concert,8444,4,14:00 - 20:00,"20-45, Mumbai, Sports","75%, Neutral"
Workshop,4296,4,14:00 - 20:00,"25-40, Bhopal, Business","70%, Mixed"
Webinar,5273,2,14:00 - 20:00,"30-50, Delhi, Education","95%, Positive"
Trade Show,1719,3,14:00 - 20:00,"18-35, Maharashtra, Arts","85%, Positive"
Seminar,8397,4,08:00 - 16:00,"16-30, Banglore, Music","85%, Positive"
Festival,9772,2,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Concert,5246,3,12:00 - 22:00,"18-25, Indore, Tech","90%, Very Positive"
Workshop,1252,1,14:00 - 20:00,"25-40, Bhopal, Business","75%, Neutral"
Festival,1564,2,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Seminar,2247,4,08:00 - 16:00,"18-35, Maharashtra, Arts","70%, Mixed"
Festival,9163,2,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Conference,7583,2,14:00 - 20:00,"18-25, Indore, Tech","80%, Negative"
Trade Show,812,3,09:00 - 17:00,"30-50, Delhi, Education","85%, Positive"
Webinar,7160,2,10:00 - 18:00,"18-35, Maharashtra, Arts","75%, Neutral"
Conference,8069,3,08:00 - 16:00,"18-35, Maharashtra, Arts","85%, Positive"
Trade Show,1934,2,12:00 - 22:00,"20-45, Mumbai, Sports","80%, Negative"
Trade Show,1218,2,12:00 - 22:00,"18-25, Indore, Tech","80%, Negative"
Seminar,9213,1,08:00 - 16:00,"16-30, Banglore, Music","95%, Positive"
Festival,8457,2,08:00 - 16:00,"30-50, Delhi, Education","90%, Very Positive"
Concert,6640,4,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Webinar,227,2,08:00 - 16:00,"20-45, Mumbai, Sports","70%, Mixed"
Trade Show,4737,3,14:00 - 20:00,"18-35, Maharashtra, Arts","80%, Negative"
Webinar,823,4,09:00 - 17:00,"18-25, Indore, Tech","85%, Positive"
Conference,2721,4,08:00 - 16:00,"18-35, Maharashtra, Arts","70%, Mixed"
Conference,9272,3,10:00 - 18:00,"18-35, Maharashtra, Arts","70%, Mixed"
Conference,3534,1,19:00 - 22:00,"18-25, Indore, Tech","95%, Positive"
Festival,8108,3,19:00 - 22:00,"16-30, Banglore, Music","85%, Positive"
Webinar,4955,1,10:00 - 18:00,"18-25, Indore, Tech","80%, Negative"
Concert,9469,2,14:00 - 20:00,"30-50, Delhi, Education","95%, Positive"
Festival,2952,1,19:00 - 22:00,"20-45, Mumbai, Sports","90%, Very Positive"
Trade Show,3253,4,12:00 - 22:00,"20-45, Mumbai, Sports","70%, Mixed"
Trade Show,5521,4,08:00 - 16:00,"16-30, Banglore, Music","80%, Negative"
Seminar,4413,4,08:00 - 16:00,"20-45, Mumbai, Sports","80%, Negative"
Workshop,2829,4,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,8153,4,14:00 - 20:00,"30-50, Delhi, Education","85%, Positive"
Trade Show,490,4,10:00 - 18:00,"16-30, Banglore, Music","90%, Very Positive"
Concert,3526,4,10:00 - 18:00,"20-45, Mumbai, Sports","75%, Neutral"
Concert,4713,1,08:00 - 16:00,"30-50, Delhi, Education","80%, Negative"
Conference,6539,3,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Workshop,6831,1,08:00 - 16:00,"30-50, Delhi, Education","95%, Positive"
Workshop,2931,3,19:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,6583,1,19:00 - 22:00,"30-50, Delhi, Education","95%, Positive"
Workshop,9706,2,12:00 - 22:00,"16-30, Banglore, Music","70%, Mixed"
Seminar,7955,4,12:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Concert,7426,2,10:00 - 18:00,"18-35, Maharashtra, Arts","85%, Positive"
Concert,3038,3,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Conference,6315,4,09:00 - 17:00,"20-45, Mumbai, Sports","85%, Positive"
Concert,9036,2,14:00 - 20:00,"18-25, Indore, Tech","85%, Positive"
Conference,3469,2,10:00 - 18:00,"30-50, Delhi, Education","85%, Positive"
Webinar,8093,3,09:00 - 17:00,"25-40, Bhopal, Business","85%, Positive"
Seminar,3318,4,12:00 - 22:00,"16-30, Banglore, Music","95%, Positive"
Workshop,2410,2,12:00 - 22:00,"25-40, Bhopal, Business","95%, Positive"
Webinar,5553,4,14:00 - 20:00,"16-30, Banglore, Music","70%, Mixed"
Workshop,7777,3,10:00 - 18:00,"18-25, Indore, Tech","85%, Positive"
Seminar,8274,1,12:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Seminar,747,2,08:00 - 16:00,"25-40, Bhopal, Business","75%, Neutral"
Festival,3895,3,12:00 - 22:00,"16-30, Banglore, Music","90%, Very Positive"
Festival,7736,2,10:00 - 18:00,"25-40, Bhopal, Business","80%, Negative"
Workshop,866,4,10:00 - 18:00,"16-30, Banglore, Music","95%, Positive"
Seminar,1918,2,12:00 - 22:00,"16-30, Banglore, Music","85%, Positive"
Workshop,772,2,14:00 - 20:00,"16-30, Banglore, Music","90%, Very Positive"
Conference,5941,4,19:00 - 22:00,"18-25, Indore, Tech","85%, Positive"
Conference,9764,4,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Conference,508,3,10:00 - 18:00,"30-50, Delhi, Education","90%, Very Positive"
Festival,5844,4,10:00 - 18:00,"18-35, Maharashtra, Arts","80%, Negative"
Concert,4497,3,14:00 - 20:00,"18-25, Indore, Tech","70%, Mixed"
Workshop,6235,1,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Workshop,4656,2,09:00 - 17:00,"30-50, Delhi, Education","70%, Mixed"
Webinar,1168,4,08:00 - 16:00,"20-45, Mumbai, Sports","70%, Mixed"
Trade Show,7182,2,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Seminar,1577,3,12:00 - 22:00,"20-45, Mumbai, Sports","75%, Neutral"
Trade Show,468,2,12:00 - 22:00,"20-45, Mumbai, Sports","85%, Positive"
Workshop,5004,1,09:00 - 17:00,"18-25, Indore, Tech","70%, Mixed"
Seminar,9102,1,09:00 - 17:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Webinar,8312,2,19:00 - 22:00,"18-25, Indore, Tech","80%, Negative"
Workshop,1792,1,14:00 - 20:00,"18-35, Maharashtra, Arts","70%, Mixed"
Workshop,8838,2,08:00 - 16:00,"18-35, Maharashtra, Arts","75%, Neutral"
Festival,9427,4,08:00 - 16:00,"16-30, Banglore, Music","75%, Neutral"
Festival,5139,4,08:00 - 16:00,"18-25, Indore, Tech","70%, Mixed"
Seminar,2576,4,14:00 - 20:00,"16-30, Banglore, Music","80%, Negative"
Concert,8477,4,19:00 - 22:00,"16-30, Banglore, Music","75%, Neutral"
Seminar,610,1,19:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Webinar,3144,3,10:00 - 18:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Concert,8324,4,10:00 - 18:00,"30-50, Delhi, Education","75%, Neutral"
Workshop,3858,1,12:00 - 22:00,"18-35, Maharashtra, Arts","80%, Negative"
Workshop,6321,2,08:00 - 16:00,"25-40, Bhopal, Business","70%, Mixed"
Concert,6666,1,10:00 - 18:00,"30-50, Delhi, Education","85%, Positive"
Workshop,5694,3,08:00 - 16:00,"20-45, Mumbai, Sports","95%, Positive"
Concert,7255,3,19:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,7486,1,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Festival,9463,4,10:00 - 18:00,"18-35, Maharashtra, Arts","95%, Positive"
Trade Show,5132,3,09:00 - 17:00,"30-50, Delhi, Education","85%, Positive"
Seminar,1960,4,12:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Webinar,7881,3,10:00 - 18:00,"25-40, Bhopal, Business","90%, Very Positive"
Trade Show,2812,2,09:00 - 17:00,"30-50, Delhi, Education","85%, Positive"
Conference,1114,1,12:00 - 22:00,"18-35, Maharashtra, Arts","95%, Positive"
Conference,960,2,19:00 - 22:00,"16-30, Banglore, Music","85%, Positive"
Concert,4551,3,12:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Workshop,8238,4,08:00 - 16:00,"18-25, Indore, Tech","80%, Negative"
Trade Show,7697,3,08:00 - 16:00,"18-35, Maharashtra, Arts","80%, Negative"
Festival,6668,2,09:00 - 17:00,"18-35, Maharashtra, Arts","75%, Neutral"
Webinar,4688,4,09:00 - 17:00,"18-35, Maharashtra, Arts","70%, Mixed"
Webinar,626,1,14:00 - 20:00,"25-40, Bhopal, Business","95%, Positive"
Festival,4328,1,09:00 - 17:00,"18-35, Maharashtra, Arts","70%, Mixed"
Seminar,1892,2,10:00 - 18:00,"25-40, Bhopal, Business","95%, Positive"
Webinar,1888,2,19:00 - 22:00,"18-25, Indore, Tech","75%, Neutral"
Workshop,631,2,14:00 - 20:00,"16-30, Banglore, Music","75%, Neutral"
Concert,7393,2,10:00 - 18:00,"25-40, Bhopal, Business","95%, Positive"
Concert,9327,1,09:00 - 17:00,"16-30, Banglore, Music","85%, Positive"
Conference,2257,1,14:00 - 20:00,"25-40, Bhopal, Business","80%, Negative"
Webinar,1766,2,12:00 - 22:00,"20-45, Mumbai, Sports","95%, Positive"
Seminar,9578,3,09:00 - 17:00,"18-25, Indore, Tech","70%, Mixed"
Webinar,4825,3,09:00 - 17:00,"30-50, Delhi, Education","75%, Neutral"
Webinar,2490,4,14:00 - 20:00,"25-40, Bhopal, Business","75%, Neutral"
Concert,3407,2,19:00 - 22:00,"30-50, Delhi, Education","75%, Neutral"
Webinar,4898,1,08:00 - 16:00,"18-25, Indore, Tech","80%, Negative"
Concert,2594,1,08:00 - 16:00,"20-45, Mumbai, Sports","70%, Mixed"
Concert,144,1,19:00 - 22:00,"25-40, Bhopal, Business","70%, Mixed"
Conference,1568,4,14:00 - 20:00,"16-30, Banglore, Music","75%, Neutral"
Concert,8170,2,19:00 - 22:00,"30-50, Delhi, Education","90%, Very Positive"
Seminar,7529,4,19:00 - 22:00,"18-35, Maharashtra, Arts","90%, Very Positive"
Festival,860,3,12:00 - 22:00,"25-40, Bhopal, Business","85%, Positive"
Trade Show,4310,4,08:00 - 16:00,"25-40, Bhopal, Business","90%, Very Positive"
Concert,1600,2,08:00 - 16:00,"18-25, Indore, Tech","85%, Positive"
